mid,mname,comments_num,per_capita_con,taste,environment,service,phone,address,details
141, 宴御海鲜姿造(桐梓林店) ,4795,413,8.2,8.4,8.3, 028-85002000 , 人民南路四段46号上善国际北三楼（地铁1号线桐梓林站B出口旁） ,https://www.dianping.com/shop/G7LyegChAv6OBFHw
142, 夹夹大·蟹蟹大排档(财富又一城店) ,4318,95,8.3,8.3,8.2, 19008018005 13880722858 , 马鞍东路56栋附1号（川白楼对面） ,https://www.dianping.com/shop/HaOcIJQhvfL5inN1
143, 小饕荟雅安贡椒鱼鲜馆(广福桥店) ,6962,83,9.1,8.7,9.1,14708074796, 广福路5号附34号 ,https://www.dianping.com/shop/G7QQgFjpWzLG6CBz
144, 清泰园庭院火锅 ,840,90,7.9,8,7.7, 028-85718715 19150176169 , 永安路二段51号 附1号（清泰休闲庄后院） ,https://www.dianping.com/shop/H8mrf4qzTjyV6sji
145, 夏威夷 ·全球海鲜姿造(高新店) ,5330,363,7.7,7.8,7.8, 028-62129777 028-81967888 , 石羊街道益州大道北段777号中航国际交流中心B座2楼(锦尚西一路327号) ,https://www.dianping.com/shop/k2Flqn19FvZuHiPq
146, 不站·花胶鸡(桐梓林店) ,6820,141,8.6,8.7,8.4, 028-85588266 , 桐梓林北路6号附19号二楼 ,https://www.dianping.com/shop/k6vnHJOLkhOoCvLz
147, 禅悦素食 ,3551,173,8.3,8.7,8.7, 028-83331820 19950070379 , 人民南路四段48号曼哈顿国际首座C座19楼（万丽酒店旁） ,https://www.dianping.com/shop/G6EckLYHxvUL5AAA
148, 生如夏花泰式火锅(鹭洲里店) ,7049,121,9,9.1,9, 028-65216683 , 桂溪街道天府二街1033号建发鹭洲里闲里四楼4009号(高新伊藤洋华堂对面) ,https://www.dianping.com/shop/G7DnVkKXNm7BBhnT
149, 昊·来了寿司(双楠一店) ,3565,90,8.9,8.1,8.3,19141374825, 逸霞街9附3号圣沅汇景新村1幢底商 ,https://www.dianping.com/shop/H25GNa4mmx6zoblM
150, 牛水煮·牛肉水煮·川小馆(天府三街旗舰店) ,10383,64,8.3,8.3,8.5,17723305201, 天府三街69号新希望国际B座广场2楼(招商银行楼上) ,https://www.dianping.com/shop/l2AubEnxKccoqGtt
151, 德门荟(太古里店) ,2350,308,8.5,9.1,9.1, 17882159532 18200366759 , 提督街99号恒大广场5层（近太古里、春熙路天府广场） ,https://www.dianping.com/shop/H98zrM9HaduK9BzO
152, 金牌泰香米(成都银泰中心店) ,5067,157,8.9,9,8.9, 19008208001 13378232007 , 天府大道北段1199号银泰中心8F ,https://www.dianping.com/shop/H7kPwbeHn1EcZMbk
153, 川西坝子火锅(华阳2.0直营店) ,9449,114,8.3,8.4,8.4, 028-65751517 4000517517 , 正北下街115-135号（城市丽景酒店正对面） ,https://www.dianping.com/shop/l8HPdLfkJ3BOtvJc
154, 木屋烧烤(少陵路店) ,3266,98,8.4,8.8,8.4, 028-85372628 17620140432 , 少陵路88号尚品康河一楼（88号酒吧旁） ,https://www.dianping.com/shop/k8qD7qQCHg9LJiwy
155, 海底捞火锅(阳光新业店) ,9623,123,8.4,8.9,9.1, 028-62508981 028-62508982 , 一环路东五段87号阳光新业中心6-7F ,https://www.dianping.com/shop/H5ESqHB2Q3pePO80
156, 焖烤大叔·烧烤羊肉串 ,435,70,8,7.9,8, 17608291716 15202899437 , 金园街231号 ,https://www.dianping.com/shop/G2a6IOV61iNgIjk8
157, 川传串传承四川地道串串香(宽窄巷子总店) ,5172,72,8.3,8.2,8.3, 028-64921525 , 实业街59号附12号（芙蓉花园对面） ,https://www.dianping.com/shop/l7Gptl295kyuP72X
158, 海底捞火锅(成都大悦城店) ,4966,116,8.6,8.7,8.9, 028-61111660 028-61111880 , 大悦路518号大悦城购物中心2栋5-6层 ,https://www.dianping.com/shop/FcQpPb8nDXNoC25H
159, 青城甲(青城山店) ,8916,91,8.4,8.4,8.4, 17381980585 15882150108 , 渠山路上元社区6组52号附2号 ,https://www.dianping.com/shop/l8VJXUkplpuXYeEJ
160, IF艺术美学餐厅(太古里店) ,1975,274,8.8,9,9, 13541238978 13540240173 , 蜀都大道东风路欢墅香里精品酒店 ,https://www.dianping.com/shop/l9PyYcRfmMVs358m
161, 屋头串串(贝森店) ,5252,72,8.2,8.2,8.2, 028-86114849 , 光华街道双新南路50-54号(青羊实验小学对面) ,https://www.dianping.com/shop/G4BVHXgUk458iuIe
162, 谭鸭血老火锅(太古里店) ,17704,102,8,8.1,8, 028-86115477 , 东大街下东大街段166号三圣街68号园一层附171-176、179-182号 ,https://www.dianping.com/shop/Ha6cFnXSioj4r2pZ
163, 谦和清心素食(交大店) ,4026,22,8.5,8.3,8.4, 028-62011055 18140036519 , 星辰路28号 ,https://www.dianping.com/shop/G39eiSGuVgVMUpD6
164, 海底捞火锅(世豪广场店) ,6958,112,9,9.1,9.2, 028-85330405 028-86050405 , 剑南大道中段998号世豪广场1栋5层C507号 ,https://www.dianping.com/shop/l2KVCjPe0Wprf6UY
165, 御厨阁·泉水蒸汽石锅鱼(总店) ,3063,70,8.2,8.1,8.2, 028-65752384 18081680182 , 天府新区华阳街道和平路52号、54号 ,https://www.dianping.com/shop/k2uMdp1V5wgIOcZd
166, 烤匠麻辣烤鱼(IFS店) ,23725,103,9,9,8.9, 028-86980167 , 红星路三段1号成都IFS国际金融中心商场7楼L707号 ,https://www.dianping.com/shop/l43H2oBGPgM7u8jF
167, 生如夏花泰式火锅(西村欢聚店) ,9474,119,8.8,8.9,8.9, 028-87314185 , 贝森北路西村大院3号楼2楼210-4号 ,https://www.dianping.com/shop/ladPjiqfs80IpV8V
168, Silver pot·银锅现代川菜(悠方店) ,1918,777,9,9.1,9.1, 028-65777598 , 交子大道300号悠方ICP写字楼M6座5层532号 ,https://www.dianping.com/shop/lazqiGWWMMPehoNG
169, 碳楽·满腹和牛烧肉店(保利中心店) ,4299,254,9.2,9.1,9.2, 028-85244533 18381912743 , 锦绣路1号附33号保利中心B座（近领事馆，近科华北路，近倪家桥地铁站） ,https://www.dianping.com/shop/H2G9oPwCxGbGOFlm
170, 邓氏兔头 ,3148,46,8.1,7.7,7.9,15756687363, 荷花池街道一环路北二段102号西侧(近白马寺) ,https://www.dianping.com/shop/k7K6MyU06FpcYi1D
171, 海底捞火锅(龙湖三千集店) ,5994,113,8.5,9,9.2, 028-81457650 028-81457651 , 建设北路三段2号龙湖三千集3层 ,https://www.dianping.com/shop/l8ofXUuYyJmff9uH
172, 麓轩·Luxexuan(麓湖店) ,3208,319,8.4,8.9,8.6, 028-64297077 19181726369 , 润朗路98号麓湖游艇俱乐部内一楼 ,https://www.dianping.com/shop/l3U8ipMQ0kohBsyt
173, 芳香景 ,1229,838,8.7,9.2,8.9, 028-64601181 18080075858 , 一环路北一段中铁鹭岛艺术城5号四合院 ,https://www.dianping.com/shop/i4th5PBOASm92WMk
174, 子非(宽窄巷子店) ,2181,880,8.5,9.1,9.1, 028-86633737 , 宽巷子25号 ,https://www.dianping.com/shop/Fea0Tcjed722Hl73
175, 丑二哥私厨(太古里店) ,1029,298,9.1,8.9,9,13808056919, 望平街133号(顺通河滨公寓地下停车场进出口大门入)4单元8楼801号 ,https://www.dianping.com/shop/k8fD3bNVXttXiKbK
176, DF艺术餐厅 ,1953,275,8.4,8.9,8.9,19150047901, 府青路二段177号8栋2楼203号（近中铁V街销售中心） ,https://www.dianping.com/shop/H3rVSqhZhvxvGl9h
177, 兰香村土菜馆 ,3372,54,8.5,8.3,8.4,18628223713, 都江堰景区西街109-111号（董寿平旧居斜对面） ,https://www.dianping.com/shop/lamGfdagMNRMsWiu
178, 海底捞火锅(春熙路群光广场店) ,7710,113,9.1,9.1,9.1, 028-65000088 028-65000099 , 春熙路南段8号1栋9楼9A-04A ,https://www.dianping.com/shop/k36NUszfABFuqwgO
179, 禄合門美蛙火锅(太古里店) ,6187,88,8.8,8.6,8.6, 028-65771666 , 天仙桥北路1号1栋1层2号二层（东门码头对面） ,https://www.dianping.com/shop/Gacj9FC5zIlNthNL
180, 陈记小凤鲜芋儿鸡(大丰店) ,612,42,8.3,8,8.2,13981833893, 华美街44、46号 ,https://www.dianping.com/shop/HaTrpL1ymG1bPxoL
181, 书芙蓉舒食小火锅(银泰城店) ,2741,38,8.3,8.5,8.3, 028-85320609 ," 益州大道中段1999号银泰城悦坊8栋3层1号(2号门对面,近汉堡王右侧扶梯)（2号门面对、近汉堡王右侧扶梯） ",https://www.dianping.com/shop/l9DeUMROvjPqAu8i
182, 黑天鹅蛋糕 下午茶(新希望店) ,1708,546,8.2,8.4,8.5, 028-85600333 , 新希望路7号(奥克伍德酒店旁边) ,https://www.dianping.com/shop/H8I84AF1CCrfXnVU
183, 海底捞火锅(金牛凯德店) ,5631,99,8.6,8.9,9, 028-81146525 028-81146526 , 交大路183号凯德广场二期5层25、26号 ,https://www.dianping.com/shop/l8S4zKWVt3LRTxb6
184, 大院河·仙鱼莊(琉璃旗舰店) ,6055,119,8.8,9.1,8.8, 19181745929 19181740151 , 锦华路街道琉三路16号附29号（琉三路地铁站C口步行350米） ,https://www.dianping.com/shop/FnTFkBETdorw1R7n
185, 吃城都·鱼蛙火锅(西玉龙街店) ,5374,78,8.9,8.6,8.7, 028-86663258 , 西玉龙街12号 ,https://www.dianping.com/shop/G2aFQ8fMce2lWqAM
186, 马路边边串串香(致民路店) ,6775,75,7.9,7.8,7.9, 028-81705448 18512838486 , 致民路48号（近地铁3号线新南门站D出口） ,https://www.dianping.com/shop/jmnzeDBNSQsPzWlr
187, 南贝(兴隆湖店) ,1871,168,8.7,8.8,8.7, 028-80205678 15198122689 , 天府新区科学城湖畔路西段天府菁蓉中心D区B2号楼（南贝山茶旁） ,https://www.dianping.com/shop/G45p2S1fyRImoZwW
188, 舒艾Chouette·生日蛋糕·甜品下午茶(太古里店) ,1957,92,8.6,8.6,8.6,13982024353, 镋钯街35号附1号 ,https://www.dianping.com/shop/G6vSqSQ2LWVk0fLq
189, 南荟里(锦华万达店) ,2810,360,8.6,8.8,9, 18884530813 13540240173 , 琉璃路678号翡翠天地（近靠锦华万达） ,https://www.dianping.com/shop/l5O21G9AHQF0XFph
190, 川西坝子火锅(羊犀2.0直营店) ,8456,112,8.5,8.8,8.8, 028-87733517 4000517517 , 蜀西路46号盛大国际2栋 ,https://www.dianping.com/shop/G63tfqFq8K1pYzeZ
191, 武士的牛·纯血和牛烧肉(双楠店) ,4182,450,9.1,9,9.2,17713607049, 逸都路153号（鹭岛国际100米） ,https://www.dianping.com/shop/k9lKgLpdaXKb6YMq
192, 巴蜀大将火锅(ifs概念店) ,9450,95,8.3,8.3,8.4, 028-83838786 , 红星路三段10号第一城B座2楼 ,https://www.dianping.com/shop/Ha76Q27eRgOa5HRK
193, 汪柴喵·猫咖狗咖·奶狗奶猫·阿拉斯加·缅因·桌游剧本杀(太古里IFS春熙路店) ,1582,42,8.3,8.4,8.6,17702821006, 红星路三段第一城A座10楼4-6号（春台市锦集市内前行20米右边） ,https://www.dianping.com/shop/G1Mb92x9ADxJR0bg
194, 四千高原·云南菜(天府二街店) ,4792,85,9.1,9.1,9.1,18190782295, 天府二街云泰行商业中心2楼 ,https://www.dianping.com/shop/H9U5Ks4uidEikKWB
195, 仁和春天酒店·春天庭餐厅 ,2013,272,8.8,9.1,9, 18123289641 028-88240901 , 二环路西二段19号仁和春天酒店3楼 ,https://www.dianping.com/shop/k8nj4XwenlSZQJvr
196, 西昌火盆炭烤香猪(总店) ,794,69,8,7.6,7.9, 13880978553 17608009219 , 学府路一段55号 ,https://www.dianping.com/shop/k51PBUY6tZtmQQMy
197, 八百雲日料(红星路店) ,837,162,8.5,8.3,8.7,18982779292, 红星路一段35号附1号A1号楼1层红星路三十五号创意产业园1楼 ,https://www.dianping.com/shop/k1q3rV46VamNlpYK
198, 鸡毛店·川菜(双楠店) ,4581,64,8.7,8.5,8.6,15882431348, 双楠街172号 ,https://www.dianping.com/shop/k2mPCJLSRb8efzA9
199, 蜀九香火锅(九眼桥店) ,3509,107,8.3,8.3,8.2, 028-85446808 13688178146 , 望江路街道太平南新街8号 ,https://www.dianping.com/shop/H8dPsujty5TswEDw
200, 酥香门弟锅盔凉粉(耿家巷店) ,3471,10,8.3,7.8,8.1, 13330965180 18200401088 , 耿家巷4号 ,https://www.dianping.com/shop/FxAPk1PYKUv4x3MC
201, 喳哇牛油串串(春熙路总店) ,3436,75,8.4,8.1,8.2, 17308076161 028-61326343 , 春熙路街道西龙须巷7号(省政府正对面) ,https://www.dianping.com/shop/Ga13duy2C2vt2ZFz
202, Janvier一月 ,1935,156,8.5,8.3,8.8,17360030917, 二环路西二段12号1层19号 ,https://www.dianping.com/shop/l15SGEw530h5DU9j
203, 生如夏花泰式海鲜火锅(龙湖滨江天街店) ,4613,119,9.1,9,9, 028-62126569 , 杉板桥路龙湖滨江天街购物中心5楼19-20号 ,https://www.dianping.com/shop/k70IX84JTdeg4AqY
204, 吴三孃河坝卤菜总店 ,1897,51,8.2,8,8.1, 13880867276 028-69951130 , 观景路572号 ,https://www.dianping.com/shop/l5Tr6HK2JHe1d2Qj
205, 随和玉厨·私房川菜(天府三街店) ,1260,227,8.6,9,8.8, 028-85352669 , 天府三街266号（绮丽雅酒店电梯上2F） ,https://www.dianping.com/shop/k8K5ZNHKQXDxrtwB
206, 杨三孃跷脚牛肉(橡树林店) ,1768,46,8.6,8,8.1,13388279997, 橡树林路113号（近橡树林东路十字路口） ,https://www.dianping.com/shop/k6yjgLzQXks1ubem
207, 小龙坎火锅(春熙太古里店) ,13969,104,8.5,8.4,8.3, 028-81479050 028-61999807 , 东大街下东大街段36号郁金香花园广场2F（近太古里） ,https://www.dianping.com/shop/GaSgfY40snD7PXUP
208, 金楼阁茶室(科华店) ,2015,65,8.2,8.8,8.3,17358501644, 郭家桥西街8号 ,https://www.dianping.com/shop/l7HJw9sXpaCuOUUE
209, 百姓百味民间拿手川菜(华阳店) ,1800,81,8.5,8.5,8.5, 028-83665511 , 天府新区华阳街道滨河路二段368号 ,https://www.dianping.com/shop/j7SkzUHZ77TfeyNj
210, 闲亭(峨影店) ,2869,242,8,8.7,7.9, 028-61316666 028-61313333 , 清江东路360号 ,https://www.dianping.com/shop/k1qOEIJEtxLv6RI2
211, 壹代·韩式炭火烤肉(空港店) ,1193,61,8.4,8.3,8.6, 15178869540 17713584795 , 珠江路空港国际城一期路面停车场七天连锁酒店旁（地下停车场方向） ,https://www.dianping.com/shop/G5eqLYZTxZPKgQI1
212, 漾·19Club ,1567,400,9,9.2,9.1, 028-86021919 , 高新区天府五街1388号花漾锦江B座36-39楼 ,https://www.dianping.com/shop/G6uxNopIhdZjDe4F
213, 唐宫小聚·港式点心(太古里水璟唐店) ,9632,119,8.2,8.6,8.3, 028-82891211 , 锦官驿街1号5栋1号 ,https://www.dianping.com/shop/H2ODZOTj4wNA9dMK
214, 漾亚·雍雅合鲜(桐梓林店) ,1467,500,8.5,8.9,8.8, 028-85199019 85318666 , 桐梓林东路1号附1号 ,https://www.dianping.com/shop/k6bRiPLz1CUE4nF4
215, 韩国味亲烤肉(石油大学店) ,2404,53,8.1,8,8.2,18244262637, 正因南街西八巷19号 ,https://www.dianping.com/shop/G9mZVF1n5OPrn7ot
216, 富贵老火锅(万象城店) ,2989,77,8.1,8,8.1,13708082711, 双林南支路10号附9号 ,https://www.dianping.com/shop/k9apfclGRITO5bVT
217, 鮨·天和 Omakase(桐梓林店) ,1846,687,9.1,9,9,18583228833," 桐梓林北路10号(地铁1号线桐梓林站B口500m)（客有疏密,请君提前致电） ",https://www.dianping.com/shop/larPmdavnZgPbHFA
218, 烤匠麻辣烤鱼(环球中心店) ,7216,88,8.6,8.7,8.6, 028-86037209 , 石羊街道天府大道北段1700号新世纪环球中心4楼(电影院购票处) ,https://www.dianping.com/shop/l1gj9g8jz2e19C3S
219, 独食火锅·半米屋台(广都店) ,1598,70,8.1,8.2,8.3,18328656077, 悦和二街49-51号 ,https://www.dianping.com/shop/labLDswybhfZNjO1
220, 短笛Piccolo Coffee(宽窄巷子店) ,2456,42,8.1,8.2,8.2, 18884102770 13540097049 , 东胜街5号附7号 ,https://www.dianping.com/shop/H6zSjl55MZhot6Ld
221, 土灶人家·柴火鸡(都江堰店) ,3794,66,8.4,8.5,8.3, 028-87279900 18081183909 , 聚源镇灌温路869号（张家湾社区旁） ,https://www.dianping.com/shop/l9NB7ioOSjXTjPvZ
222, 蓉和妈妈菜·芙蓉花开(高新店) ,5187,69,8.3,8.3,8.3, 028-64137799 , 梓州大道4507号202室 ,https://www.dianping.com/shop/H58yFqFcUb036zjh
223, 南汇57 ,846,265,8.3,8.6,8.6, 028-85378888 , 人民南路四段57号（天府立交桥下，米乐星KTV南门背后） ,https://www.dianping.com/shop/H2RxCljE0WXGQrNg
224, 渺秒海鲜大排档(双楠广福店) ,1288,110,8.3,8.2,8.3, 028-85063366 13699038033 , 广福路9号附18号 ,https://www.dianping.com/shop/G8Bc9VJwUFaJQDjW
225, 蜀大侠火锅(总府路店) ,11728,109,8.5,8.4,8.3, 028-86666757 , 商业场街1号2层 ,https://www.dianping.com/shop/H6xqxhaDVTgskd08
226, 禅边小院·私房菜 ,482,468,9.1,9.1,9.1,15308084487, 幸福路5号 ,https://www.dianping.com/shop/G4ypnOtdzzlZIz1z
227, 慢作WORKTOP(丽都路店) ,1798,153,8.1,8.2,8.3, 18190948593 4009649008 , 丽都路6号附4号 ,https://www.dianping.com/shop/H2oTtpure41v9Nxr
228, 鑫记婆婆兔·成都特产·兔头手撕兔(太古里店) ,3558,67,8.3,8.2,8.3, 18190864187 18080080036 , 东大街下东大街段10号附2号 ,https://www.dianping.com/shop/ladpF0jmlREkLVSS
229, FATIM花甜生活·生日蛋糕 ,2236,140,8.5,8.3,8.6,19108204454, 水碾河南三街37号U37创意仓库9栋4楼2号 ,https://www.dianping.com/shop/H8W8C3ihS7KU8g2I
230, 不站·花胶鸡(攀成钢店) ,4065,155,8.7,8.8,8.6, 028-85373727 , 上沙河铺街66号COSMO天廊D2 ,https://www.dianping.com/shop/k4VpLlmBlT9ISt5C
231, 茶百道(太古里店) ,2408,16,8,7.9,7.9,15881011610, 锦官驿街道东糠市街35号(太古里、春熙路、大慈寺) ,https://www.dianping.com/shop/H4a2531Cmxet1SaS
232, 熔岩·东南亚料理 ,1869,141,8.3,8.6,8.5,18980993696, 天府大道南段1163号大城际旁（子集负一楼） ,https://www.dianping.com/shop/G3FF97USFyBBRBfG
233, ZHAO赵·牛扒坊(万科天荟店) ,2479,336,9.1,9.2,9.2, 028-83171199 19938079743 , 杉板桥路369号万科天荟1楼021号赵牛排 ,https://www.dianping.com/shop/l9rwPf82ImGLKkTo
234, 园里火锅(天府三街店) ,6965,159,8,9,8.3, 028-61125050 , 天府三街大源国际中心B1栋3层 ,https://www.dianping.com/shop/H2piqp1GDwXWt7zz
235, 四方火锅招待所(益州大道店) ,2375,95,8.9,8.6,8.5, 028-87999009 , 益州大道中段航天城上城613号 ,https://www.dianping.com/shop/G85alzIbl17OTPsC
236, 千寿精致料理·寿喜烧(王府井店) ,2566,125,8.7,8.3,8.9, 028-86274848 , 火车南站街道科华中路2号王府井购物中心4层27号（海底捞斜对面） ,https://www.dianping.com/shop/l7U9B0rkLqA53sEu
237, 独食火锅·半米屋台(直营总店) ,1140,76,8.4,8.4,8.4, 18328668759 18708180246 , 树德里1号附10号（滋味烤鱼旁边） ,https://www.dianping.com/shop/G9TYpmGhnjVUfK8Z
238, 晓靖轩烧烤(沙河风情店) ,3986,99,8.2,7.8,7.9,18628023775, 府青路街道泰兴路36号附12号（李家沱地铁站D口步行470米） ,https://www.dianping.com/shop/G20JuXMxlnipobTQ
239, 唯成?韩国炭火烤肉 ???? ,3386,98,8.6,8.3,8.6, 028-87057233 19938224659 , 金阳路19号（地铁7号线金沙博物馆D出口前行80米） ,https://www.dianping.com/shop/l6z7r8p2ZRpYTjeP
240, 饕林餐厅(太古里东升店) ,15149,75,8.4,8.2,8.3, 028-81977888 , 东升街58号 ,https://www.dianping.com/shop/l7fJ447ynEVP8rXV
241, 半甜CAKE定制烘焙(高新店) ,498,110,8.4,8.3,8.6,13540724512, 智地哥谭2栋3单元1002号 ,https://www.dianping.com/shop/HacfY7EnSn0cNrxb
242, 蓝榭餐厅 LAN XIE(花园城店) ,1246,175,8.8,9.1,8.9, 028-85753333 , 双燕路西段666号 ,https://www.dianping.com/shop/H1CAstuXsgNMbGL0
243, 老成都三样面(过街楼街店) ,3695,21,7.9,7.8,7.8, 028-87320715 , 过街楼街46号附6号、附8号（芙蓉饭店正对面） ,https://www.dianping.com/shop/l7sPKhDDjZUZsVSl
244, 蜀大侠火锅(西玉龙店) ,13882,99,8.5,8.4,8.3, 028-86678858 , 西玉龙街18号 ,https://www.dianping.com/shop/H1uw6FduWefGkm2k
245, 额尔敦必福牛匠(冻青树总店) ,7238,113,8.5,8.3,8.3, 028-85088137 028-81471447 , 冻青树街89号（太升南路地铁站B口步行270米） ,https://www.dianping.com/shop/l67hpFRcpH5PGYPO
246, 烤匠麻辣烤鱼(来福士店) ,6493,95,8.9,8.7,8.6, 028-85532716 , 人民南路四段3号来福士广场负1楼B127号食光阁内 ,https://www.dianping.com/shop/H66UGiIZ3GMn6jDO
247, 翠园(成都太古里店) ,7059,333,8.2,8.5,8.3, 028-87679966 , 中纱帽街8号成都远洋太古里东里2层2336、2339 ,https://www.dianping.com/shop/G9LbBGvLtN5ZVtW8
248, 集渔·泰式海鲜火锅(建设店) ,10456,126,8.2,8.2,8.2,17702871257, 建设路2号附3号国光大厦2楼（大门在1楼耐克旁） ,https://www.dianping.com/shop/H1NyQn2h3yX8xxTp
249, 凉山好汉自助西昌烧烤(高新店) ,9010,77,8.3,7.9,8.1, 028-61505708 17711086596 , 剑南大道中段710-714号（清凤时代城2号楼1楼底商） ,https://www.dianping.com/shop/k5MtnbPltBAdshGJ
250, 太食獸泰式茶餐厅(万象城店) ,11898,123,8.2,8.3,8.2, 028-67577487 , 双庆路万象城A馆1楼151号 ,https://www.dianping.com/shop/k87MpdfLKbo1RUWS
251, 双流冯记老妈兔头·江湖菜(青石桥总店) ,3544,61,8.1,8,8.1, 028-84775524 19180501715 , 青石桥北街3号（四川特产旁） ,https://www.dianping.com/shop/k4tec6n371IuEL0Y
252, 松云泽 ,921,1022,8.2,8.2,8.2, 18628117705 028-61197776 , 琉璃路8号翡翠里2-8号 ,https://www.dianping.com/shop/l9FasKMUGOAjC6Nj
253, 饭团匠·料理小食堂(总店) ,2985,86,9,8.7,9,15884442112, 紫荆巷26号紫荆社区 ,https://www.dianping.com/shop/k5ayRA11DR8Rkl76
254, 叼嘴撸串(玉林总店) ,5258,63,8.1,8,8.1, 13551379271 15828936640 , 玉林中路19号附1号 ,https://www.dianping.com/shop/la7bCA7Qx9rp9Q26
255, 8695Cake 蛋糕(成都店) ,387,130,8.1,8.1,8.2,13880439364, 东大街锦东路段一环路东五段108号 ,https://www.dianping.com/shop/k1JDvdZS5dvpzE7w
256, 苏坦中东料理·清真·西餐(太古里店) ,10533,123,8.1,8.5,8.4, 028-62527788 , 中纱帽街8号成都远洋太古里东里28栋2楼2307B商户（阿迪达斯旁上电梯后左手边） ,https://www.dianping.com/shop/k1goWhhLMsaTm8XK
257, 小龙坎火锅(全球旗舰店) ,17094,105,8.4,8.4,8.2, 028-61999499 18980037530 , 东大街下东大街段蓝光·时代华章2楼 ,https://www.dianping.com/shop/k2pV2BoBGgWH4wbP
258, 锅盖烤肉(大源店) ,2591,63,8.5,7.9,8.3,18382226905, 南华路1469号（原大源锅盖烤肉搬至此） ,https://www.dianping.com/shop/k4gCBXLbxZsyO4J8
259, 八二小区抄手(建中路店) ,6289,24,8.1,8.1,8.1, 028-83519522 , 建中路6号 ,https://www.dianping.com/shop/G2ArNDtdX4mtFaV3
260, 竹涟烧肉(光环店) ,5026,119,8.8,8.6,8.4, 17761214592 028-86661214 , 东大路333号成都光环购物公园5栋L4层05号 ,https://www.dianping.com/shop/l8CBazSJSyzO9BA6
261, 自贡扛霸子鲜锅兔(温江店) ,786,56,7.9,7.7,7.9,18095031063, 乐善路34号千禧河畔A区2号门 ,https://www.dianping.com/shop/H4GzUEjkzSDu4YVr
262, 潮森源汕头鲜牛肉火锅店(爱民路店) ,2845,66,8.6,7.9,8.1,13699867204, 荷花池街道爱民路126号10栋 ,https://www.dianping.com/shop/H9gA5yh1FgyMyHGG
263, 大彤集老火锅 ,7001,87,8.4,8.4,8.3,18628222103, 福德路29号(成都市四十四中旁) ,https://www.dianping.com/shop/iXPXbvROZ5rnzHdG
264, 竹涟烧肉(天府和悦店) ,3299,113,8.6,8.4,8.5, 19150049427 028-62485864 , 万安街麓山大道二段199号和悦广场A馆-3F-24号 ,https://www.dianping.com/shop/l2qlIDzyJOesyuxy
265, 蜀大侠火锅(中坝店) ,6060,96,8.8,8.8,8.6, 028-86660858 , 光华北三路178号附202号 ,https://www.dianping.com/shop/G6EWebzKNwMH49My
266, 原乡漫生活咖啡牛排馆(海棠湾店) ,7994,108,8.9,9,9, 028-85861600 13880828533 , 金河路六段海棠湾4015号2楼 ,https://www.dianping.com/shop/jk1R0Ys9N2zB8lE8
267, 邓记新一代糖油果子(四川煤管局供销公司职工宿舍店) ,3738,5,8.1,7.7,8,13540470367, 少城街道三道街2号附4号(近长顺下街小区西侧) ,https://www.dianping.com/shop/k1bAwU9QYVRiuhQR
268, DearCake 黛点心(花牌坊店) ,950,105,8.3,8.3,8.3, 028-87368273 17713606652 , 王家巷25号三楼307? ,https://www.dianping.com/shop/G1kPsHlX7wAkVvoo
269, BLUE HILL蓝色山丘 ,1724,157,8.2,8.4,8.3, 15719463497 028-85366596 , 置信路57号附62号 ,https://www.dianping.com/shop/l2dBptKAgnAN0txi
270, 黑竹香鸡(营和巷店) ,9241,61,8.1,7.1,7.6,17708075560, 营和巷40号（万春腌卤斜对面） ,https://www.dianping.com/shop/k3e4xdrihbVuNT3x
271, 海底捞火锅(王府井店) ,3173,115,8.8,9,9, 028-61111020 028-61111030 , 科华中路2号王府井购物中心4层L04009号 ,https://www.dianping.com/shop/l80awqMhlDA0OT0X
272, 醒食 RAND(成都太古里店) ,3288,35,8.2,8.2,8.2, 028-86656747 , 中纱帽街8号太古里东广场M层M049号（近百丽宫影城） ,https://www.dianping.com/shop/k9vUFKe6yi1Bn9T6
273, 三国义府火锅(武侯祠总店) ,5457,99,8.4,8.6,8.4, 028-85598898 19130658727 , 武侯祠大街113号附1号 ,https://www.dianping.com/shop/E71nEFCCxqogmXgg
274, 蜀镇老火锅(龙腾店) ,2404,93,9.1,9.1,9.1, 028-85232353 19150176223 , 龙腾中路1号4幢1楼8号 ,https://www.dianping.com/shop/GaStkaln424isZRi
275, 烤匠麻辣烤鱼(龙湖西宸天街店) ,7288,90,9.1,9,9, 028-83261270 , 花照壁西顺街399号首开龙湖成都西宸天街A馆4楼36-38号 ,https://www.dianping.com/shop/G2oXnr4q8zDQQH7d
276, 萨芭蒂高空花园餐酒吧 ,4041,133,8.3,8.8,8.4, 028-87444828 18048561902 , 林荫街7号华西大厦B座2单元1902（大海湾，地震局旁边） ,https://www.dianping.com/shop/k2nciRNgBEZVvHqm
277, 宫廷糕点铺 ,7989,33,8.1,7.8,7.7, 028-86942646 , 草市街街道酱园公所街56号 ,https://www.dianping.com/shop/H6vOcLja7qAT2f02
278, FOOOO light 孚乐里·轻(锦城万达广场店) ,4458,95,8.3,8.4,8.3, 028-68333968 , 锦城大道666号锦城万达广场1楼1号门入口处（地铁孵化园A出口） ,https://www.dianping.com/shop/G8awrD5cZhrOhHEA
